image_path,class,split
train/sheen/62996279_605_jpg.rf.d99603e8a3f2b5d4dadb64029095f6d0.jpg,sheen,train
train/sheen/Train1-155-_jpg.rf.1b0e13142260971aad7124666d1a9a94.jpg,sheen,train
train/sheen/o02_23342021_jpg.rf.f00d2832c4a50015feaacc491354bf17.jpg,sheen,train
train/sheen/_____thumb_fed_photo_jpg.rf.efddf3d2918ac47e0496260a69212981.jpg,sheen,train
train/sheen/HNLIKesm0Pp9ip0IWqCj4A_jpg.rf.9bd462f112055bb90d494de4c2c91b89.jpg,sheen,train
train/sheen/2014-03-23T134048Z_01_TOR900_RTRIDSP_3_USA-OIL-SPILL_jpg.rf.ed94d9d5cab53cf72cfa351366aa895c.jpg,sheen,train
train/sheen/Oil-Pollution_original_oil-25-jpg_7c3bb46c-0bd4-4128-a08b-63eb3198c06d_jpg.rf.1e6762b5196e4c5ba4a28ce357aa79db.jpg,sheen,train
train/sheen/HNLIKesm0Pp9ip0IWqCj4A_jpg.rf.9325ad17a4e2639c451e1c6039b446a2.jpg,sheen,train
train/sheen/Train1-203-_jpg.rf.2f29c9db61d38e340ea5249c8c0199f3.jpg,sheen,train
train/sheen/Train1-198-_jpg.rf.681caed1fd8c957cc5f189296996961d.jpg,sheen,train
train/sheen/5cb1309808f3d9be408b4567_jpg.rf.e02ec4df955a5f1f19b2def430e46b32.jpg,sheen,train
train/sheen/Train1-198-_jpg.rf.17ea267a1eac212c6d8ca828d9a33130.jpg,sheen,train
train/sheen/Train1-190-_jpg.rf.10eb31d422a6c60c888bece860082d6f.jpg,sheen,train
train/sheen/Train1-95-_jpg.rf.a242dea02077bdc7068bd092b1267eea.jpg,sheen,train
train/sheen/Train1-206-_jpg.rf.2ddc92bcfa1cf5b6865d2923ecf7ae83.jpg,sheen,train
train/sheen/Oil-Pollution_original_oil-17-jpg_f9b23da3-b6e0-4079-88c9-458e649fb7c6_jpg.rf.46ad46f09dbe5d5b7d481cd8b202549c.jpg,sheen,train
train/sheen/23_jpg.rf.0cded78c4d35319fdc0f0798fc31accf.jpg,sheen,train
train/sheen/Train1-127-_jpg.rf.bbfa4325b6432a7d09ff4f7f37e8caa0.jpg,sheen,train
train/sheen/Train1-115-_jpg.rf.2e1b9dedce38dda5793d84b0621faa6f.jpg,sheen,train
train/sheen/2023-04-27-173601_jpg.rf.91481287aad0e131cd1bfc45b0c6e062.jpg,sheen,train
train/sheen/6672_jpg.rf.9b3de50b3a1f6a889036d19772119d91.jpg,sheen,train
train/sheen/167868890324_EH_EV001_jpg.rf.aa400ff632675a4cf3ede71efa4e70f9.jpg,sheen,train
train/sheen/cdca9d8f63bc5d86996dfad05e0a57fc_jpg.rf.0125da9b130e60cdd79637b6804118e4.jpg,sheen,train
train/sheen/Oil-Pollution_original_oil-25-jpg_5f08009c-5b31-403e-948a-85655d8a10b0_jpg.rf.d8c49aa8990044e99a7930ea266da417.jpg,sheen,train
train/sheen/Train1-206-_jpg.rf.f6aee47c2ab83c73c9b6b7959037296d.jpg,sheen,train
train/sheen/E5_0j7bUUAEZFL3-768x576_jpeg_jpg.rf.173ec2ec58894952ea710507017b7028.jpg,sheen,train
